Date,Gold_Close/Last,Gold_Volume,Gold_Open,Gold_High,Gold_Low,Silver_Close/Last,Silver_Volume,Silver_Open,Silver_High,Silver_Low
11/19/13,1273.5,96893,1275,1278.2,1268,20.334,41809,20.395,20.475,20.2
11/20/13,1258,207890,1249.4,1275.7,1240.2,20.058,59266,20.345,20.49,19.78
11/21/13,1243.6,182755,1241.8,1250,1235.8,19.976,24308,19.925,20.09,19.74
11/22/13,1244.1,120305,1242.3,1248.3,1240.3,19.901,22264,20.02,20.075,19.85
11/25/13,1241.6,56250,1230.8,1254.4,1226.4,19.926,26745,19.895,20.15,19.62
11/26/13,1241.5,106984,1249.5,1258.2,1239.2,19.893,36406,20.22,20.335,19.835
11/27/13,1237.9,141921,1241.1,1254.8,1235.5,19.682,42708,19.87,20.14,19.655
11/28/13,1237.9,N/A,1237.9,1237.9,1237.9,19.682,N/A,19.682,19.682,19.682
11/29/13,1250.4,5079,1244.6,1254.5,1234.1,20.033,252,19.74,20.1,19.645
12/2/13,1221.9,138200,1250.6,1251.2,1217.1,19.289,45489,19.99,20.01,19.115
12/3/13,1220.8,109670,1219.5,1225.8,1214.6,19.065,34973,19.17,19.335,18.975
12/4/13,1247.2,173578,1245,1251.5,1210.8,19.83,52965,19.1,19.89,18.89
12/5/13,1231.9,147817,1243.1,1243.2,1216.3,19.57,42230,19.675,19.72,19.215
12/6/13,1229,167118,1225,1245,1210.1,19.523,38739,19.4,19.785,19.165
12/9/13,1234.2,72766,1229.9,1242.6,1224.6,19.701,26761,19.555,19.98,19.435
12/10/13,1261.1,141116,1260,1267.5,1237.4,20.315,46665,19.8,20.43,19.74
12/11/13,1257.2,111156,1261,1263.2,1250.6,20.356,30905,20.385,20.48,20.21
12/12/13,1224.9,147898,1252.3,1256.5,1222.6,19.453,45739,20.305,20.345,19.41
12/13/13,1234.6,107992,1226.1,1238.2,1219.5,19.604,33205,19.475,19.74,19.28
12/16/13,1244.4,117653,1237.3,1251.7,1227.2,20.101,35598,19.655,20.29,19.445
12/17/13,1230.1,127986,1239.5,1247.6,1226.5,19.84,40510,19.975,20.23,19.675
12/18/13,1235,151471,1218.4,1244,1215.2,20.059,41146,19.735,20.265,19.425
12/19/13,1193.6,194444,1217.8,1226,1186,19.186,46827,19.71,19.905,19.1
12/20/13,1203.7,125195,1188.8,1206.9,1188,19.453,33727,19.205,19.52,19.13
12/23/13,1197,71118,1202.5,1205.6,1191.8,19.413,16547,19.42,19.52,19.265
12/24/13,1203.3,36676,1197.8,1205.1,1195.5,19.484,10139,19.43,19.575,19.31
12/25/13,1203.3,N/A,1203.3,1203.3,1203.3,19.484,N/A,19.484,19.484,19.484
12/26/13,1212.3,52788,1203.8,1215.4,1200.5,19.916,18053,19.48,20.03,19.415
12/27/13,1214,73947,1210.9,1218.9,1208.5,20.049,21243,19.8,20.105,19.75
12/30/13,1203.8,73220,1213.8,1215.8,1193.3,19.615,27147,20.095,20.18,19.46
12/31/13,1202.3,117106,1197.4,1214,1181.4,19.37,42772,18.735,19.825,18.72
1/1/14,1202.3,N/A,1202.3,1202.3,1202.3,19.37,N/A,19.37,19.37,19.37
1/2/14,1225.2,129699,1226.5,1230.8,1202.5,20.128,42268,19.44,20.44,19.43
1/3/14,1225.2,106585,1222.3,1239.6,1221.3,20.128,28272,20.015,20.325,19.985
1/6/14,1238,143931,1237.4,1247.7,1212.6,20.103,37653,20.135,20.355,19.95
1/7/14,1229.6,118858,1237,1244.7,1224.2,19.787,35940,20.18,20.28,19.625
1/8/14,1225.5,147936,1231,1231.8,1217.7,19.539,42578,19.83,19.865,19.31
1/9/14,1229.4,112656,1224.9,1230.9,1222.8,19.683,31335,19.525,19.71,19.38
1/10/14,1246.9,153178,1227.1,1248.5,1226.6,20.223,48917,19.55,20.25,19.545
1/13/14,1251.1,109306,1247.7,1255.3,1243,20.385,34901,20.19,20.47,19.955
1/14/14,1245.4,133286,1252.7,1254.9,1241.1,20.282,45927,20.39,20.67,20.125
1/15/14,1238.3,99419,1244.3,1244.6,1233.5,20.134,28735,20.255,20.27,19.905
1/16/14,1240.2,99298,1241.8,1244.9,1235.8,20.054,27091,20.21,20.25,19.97
1/17/14,1251.9,106436,1241.7,1254.6,1237.3,20.304,31289,20.1,20.425,19.96
1/20/14,1251.9,N/A,1251.9,1251.9,1251.9,20.304,N/A,20.304,20.304,20.304
1/21/14,1241.8,162248,1254.1,1262,1235.1,19.87,44905,20.305,20.435,19.655
1/22/14,1238.6,80262,1240.5,1243.5,1235.5,19.839,17078,19.875,19.94,19.735
1/23/14,1262.5,41697,1235.1,1267.1,1230.8,20.01,48293,19.775,20.31,19.645
1/24/14,1264.5,34998,1264.3,1273.2,1256.9,19.765,41267,20,20.285,19.715
1/27/14,1263.5,63419,1269.9,1280.1,1252,19.793,35349,19.97,20.09,19.55
1/28/14,1250.5,81426,1254.9,1261.9,1248,19.503,33853,19.665,19.84,19.455
1/29/14,1262.2,115459,1255.8,1270.7,1248.3,19.552,42280,19.57,19.965,19.45
1/30/14,1242.5,155053,1267.2,1267.8,1237.5,19.126,43263,19.725,19.73,18.97
1/31/14,1239.8,111168,1244,1254.8,1238.2,19.12,30269,19.13,19.465,19.065
2/3/14,1259.9,120942,1242,1266.1,1240.4,19.409,34595,19.095,19.62,19.06
2/4/14,1251.2,86988,1257.9,1260.7,1246.8,19.422,25246,19.345,19.51,19.26
2/5/14,1256.9,122164,1254.2,1274.5,1251.8,19.805,46788,19.48,20.335,19.435
2/6/14,1257.2,84600,1257.7,1267.5,1252.5,19.928,35829,19.885,20.18,19.83
2/7/14,1262.9,128223,1256.9,1272,1255.5,19.936,44302,19.93,20.09,19.755
2/10/14,1274.7,90391,1265.4,1277.8,1264.7,20.112,42978,19.97,20.275,19.96
2/11/14,1289.8,146167,1274.2,1294.4,1273.5,20.153,55209,20.055,20.29,19.915
2/12/14,1295,104754,1290.1,1296.4,1283.9,20.341,60166,20.22,20.39,20.08
2/13/14,1300.1,116071,1290.8,1303,1286.2,20.395,41582,20.22,20.52,20.125
2/14/14,1318.6,139926,1302.2,1321.5,1299.9,21.421,71530,20.48,21.49,20.445
2/17/14,1318.6,N/A,1318.6,1318.6,1318.6,21.421,N/A,21.421,21.421,21.421
2/18/14,1324.4,172646,1329,1332.4,1312.3,21.898,93757,21.8,21.98,21.315
2/19/14,1320.4,106195,1322,1323,1308.9,21.85,54924,21.955,21.96,21.375
2/20/14,1316.9,121375,1322.4,1325.3,1307.1,21.684,57130,21.555,21.9,21.4
2/21/14,1323.6,102130,1323,1328.8,1315.9,21.815,23443,21.84,22.01,21.615
2/24/14,1338,122318,1336,1339.2,1318.7,22.089,31290,21.88,22.215,21.55
2/25/14,1342.7,120790,1336.4,1343.8,1331.2,22.001,37959,21.95,22.055,21.71
2/26/14,1328,142780,1341.3,1345.6,1322.3,21.289,63432,21.905,22.07,21.12
2/27/14,1331.8,115418,1329.5,1336.4,1324,21.352,51850,21.275,21.515,21.025
2/28/14,1321.6,127886,1331.3,1333.6,1319.3,21.241,36018,21.295,21.43,21.105
3/3/14,1350.3,153906,1332.4,1355,1330.7,21.485,44444,21.325,21.74,21.26
3/4/14,1337.9,130176,1350,1352.9,1331.2,21.222,42433,21.45,21.54,21.04
3/5/14,1340.3,91934,1334.8,1342,1332.7,21.271,23837,21.21,21.34,21.155
3/6/14,1351.8,133481,1337,1353.9,1331.3,21.574,34978,21.2,21.65,21.105
3/7/14,1338.2,173637,1350.7,1353.2,1326.6,20.928,58503,21.49,21.61,20.755
3/10/14,1341.5,120938,1340.8,1344.9,1327.5,20.91,38881,20.93,21.06,20.61
3/11/14,1346.7,145527,1339.5,1353,1337.8,20.815,46121,20.85,21.325,20.67
3/12/14,1370.5,211485,1348.8,1371.3,1345.6,21.358,57540,20.86,21.435,20.82
3/13/14,1372.4,169978,1367.8,1375.7,1364.9,21.198,39900,21.33,21.48,21.105
3/14/14,1379,176638,1370.9,1388.4,1368.2,21.413,47965,21.2,21.795,21.14
3/17/14,1372.9,147056,1383.1,1392.6,1361.9,21.275,32333,21.49,21.65,21.125
3/18/14,1359,152400,1356.6,1367.9,1351.1,20.862,45342,21.19,21.25,20.625
3/19/14,1341.3,186381,1331.2,1360.2,1327.8,20.826,51477,20.835,20.965,20.505
3/20/14,1330.5,159982,1331.7,1335.3,1320.8,20.43,45580,20.615,20.73,20.14
3/21/14,1336,50231,1330.2,1343.2,1329,20.31,27533,20.32,20.585,20.265
3/24/14,1311.1,43646,1310.3,1335.6,1308.4,20.067,41579,19.97,20.315,19.92
3/25/14,1311.4,42956,1309.2,1317.7,1305.9,19.979,34895,19.95,20.215,19.905
3/26/14,1303.4,49136,1312,1317,1299.4,19.78,36942,20.03,20.145,19.68
3/27/14,1294.8,127230,1305.2,1307.5,1289.7,19.708,32505,19.755,19.87,19.575
3/28/14,1294.3,161938,1292.3,1299.4,1286.1,19.79,36960,19.725,19.92,19.62
3/31/14,1283.8,126180,1295,1299.3,1282.7,19.752,31593,19.855,20.01,19.725
4/1/14,1280,102814,1284.6,1288.4,1277.4,19.688,30350,19.775,19.91,19.635
4/2/14,1290.8,117467,1279.6,1294.9,1278.9,20.05,44645,19.75,20.145,19.73
4/3/14,1284.6,95566,1290.4,1294.2,1281.9,19.805,31857,19.995,20.08,19.66
4/4/14,1303.5,127900,1286.6,1307.5,1284.4,19.946,38760,19.835,20.23,19.785
4/7/14,1298.3,72983,1304,1304.8,1295.8,19.907,27324,19.995,20.015,19.775
4/8/14,1309.1,111942,1296.8,1314.7,1296.8,20.057,46466,19.87,20.175,19.85
4/9/14,1305.9,120700,1308.5,1315.5,1301.1,19.77,58558,20.04,20.095,19.6
4/10/14,1320.5,118683,1311.9,1324.9,1311,20.091,58677,19.86,20.4,19.86
4/11/14,1319,84126,1318.1,1324.2,1314,19.946,37890,20.03,20.13,19.91
4/14/14,1327.5,94712,1321,1331.4,1318.7,20.01,34468,20.035,20.14,19.72
4/15/14,1300.3,176565,1290.5,1328.4,1284.4,19.489,68703,20.01,19.995,19.22
4/16/14,1303.5,110052,1303.2,1307.1,1293.5,19.634,37417,19.555,19.805,19.325
4/17/14,1293.9,91061,1302.1,1304.4,1292.8,19.596,30079,19.7,19.72,19.49
4/18/14,1293.9,N/A,1293.9,1293.9,1293.9,19.596,N/A,19.596,19.596,19.596
4/21/14,1288.5,97714,1294.9,1302.5,1281.8,19.351,31891,19.6,19.705,19.23
4/22/14,1281.1,111970,1290.3,1293.1,1275.8,19.361,46255,19.415,19.53,19.285
4/23/14,1284.6,94896,1284,1289.1,1280.8,19.467,17245,19.43,19.565,19.42
4/24/14,1290.6,181613,1283.9,1299,1268.4,19.714,37265,19.47,19.93,18.95
4/25/14,1300.8,103095,1293.8,1305.2,1290.4,19.718,34786,19.695,19.84,19.545
4/28/14,1299,95970,1303.2,1306.6,1292.1,19.619,39742,19.77,19.78,19.51
4/29/14,1296.3,98134,1296,1302,1286.1,19.538,46985,19.6,19.63,19.335
4/30/14,1295.9,135540,1295.6,1298.4,1284.9,19.174,48842,19.485,19.51,19.06
5/1/14,1283.4,110658,1291.9,1293,1277.3,19.043,35511,18.8,19.25,18.685
5/2/14,1302.9,165807,1284.7,1304.9,1272,19.546,50155,19.045,19.7,18.905
5/5/14,1309.3,111036,1300.9,1315.8,1299.7,19.571,26395,19.545,19.745,19.485
5/6/14,1308.6,100069,1309.7,1314.3,1304.4,19.645,29278,19.625,19.715,19.505
5/7/14,1288.9,167867,1307.9,1315,1286.6,19.342,43549,19.605,19.77,19.295
5/8/14,1287.7,113708,1289.8,1295.5,1284.8,19.138,32388,19.32,19.39,19.125
5/9/14,1287.6,103679,1289.6,1294.5,1285.5,19.121,28781,19.19,19.315,19.045
5/12/14,1295.8,126248,1289.8,1304.5,1277.7,19.543,41224,19.155,19.67,19.045
5/13/14,1294.8,117087,1296,1299,1289.1,19.547,26979,19.53,19.62,19.365
5/14/14,1305.9,113527,1293.9,1309.2,1291.6,19.775,42231,19.55,20.005,19.51
5/15/14,1293.6,142454,1305.5,1307.3,1290.9,19.484,43310,19.79,19.835,19.43
5/16/14,1293.4,103938,1296.4,1298.3,1287.7,19.329,31188,19.5,19.53,19.255
5/19/14,1293.8,104869,1293,1305.7,1289.5,19.353,33517,19.37,19.685,19.31
5/20/14,1294.6,123097,1293,1297.2,1286,19.399,29569,19.345,19.465,19.225
5/21/14,1288.1,123195,1294.4,1296.3,1282.9,19.338,28571,19.4,19.5,19.265
5/22/14,1295.2,18760,1292.1,1304.1,1290.5,19.52,43117,19.405,19.825,19.36
5/23/14,1291.9,77183,1294.4,1295.9,1286.7,19.418,27905,19.49,19.525,19.295
5/26/14,1291.9,N/A,1291.9,1291.9,1291.9,19.418,N/A,19.418,19.418,19.418
5/27/14,1265.7,88048,1293.5,1294.7,1263.4,19.067,54047,19.445,19.5,19.025
5/28/14,1259.7,124675,1264,1267.5,1256.1,19.059,35031,19.07,19.155,18.97
5/29/14,1257.1,133780,1259.2,1261.5,1251.4,19.014,43560,19.035,19.095,18.78
5/30/14,1246,127954,1255.9,1260.6,1242.2,18.682,41488,19.035,19.085,18.615
6/2/14,1244,87845,1250.5,1251,1241.1,18.739,25945,18.795,18.87,18.65
6/3/14,1244.5,85769,1244.1,1247.9,1240.2,18.763,30763,18.755,18.92,18.71
6/4/14,1244.3,72171,1244.9,1249.5,1242.8,18.792,22697,18.78,18.88,18.72
6/5/14,1253.3,119944,1244.3,1257.9,1241.2,19.083,44678,18.8,19.155,18.67
6/6/14,1252.5,109929,1253.7,1258.2,1245.7,18.991,45317,19.04,19.2,18.88
6/9/14,1253.9,51490,1253,1257.3,1251.6,19.066,33804,19.02,19.19,18.985
6/10/14,1260.1,100191,1252.7,1263.8,1250.1,19.168,39799,19.055,19.245,18.97
6/11/14,1261.2,73562,1260.3,1265.5,1257.9,19.172,39180,19.185,19.33,19.145
6/12/14,1274,114014,1261.1,1275.1,1260,19.533,60336,19.19,19.565,19.15
6/13/14,1274.1,81163,1273.4,1278.1,1270.9,19.655,47072,19.525,19.72,19.47
6/16/14,1275.3,94811,1276.8,1285.1,1270.5,19.715,46725,19.67,19.875,19.57
6/17/14,1272,108934,1271.8,1273.5,1258,19.732,38858,19.665,19.775,19.435
6/18/14,1272.7,85688,1272.1,1279.2,1266.5,19.778,40279,19.74,19.92,19.665
6/19/14,1314.1,224721,1278.2,1322,1276.2,20.648,92452,19.895,20.925,19.83
6/20/14,1316.6,152257,1320.3,1322.5,1307.1,20.949,77150,20.77,20.99,20.58
6/23/14,1318.4,99633,1314.9,1319.2,1310.4,20.964,20911,20.89,20.985,20.78
6/24/14,1321.3,113091,1318.1,1326.6,1314.5,21.097,32707,20.925,21.225,20.855
6/25/14,1322.6,128616,1318.9,1325.6,1305.4,21.171,36413,20.945,21.22,20.76
6/26/14,1317,124778,1318.7,1320.6,1306.8,21.162,43450,21.055,21.175,20.845
6/27/14,1320,95604,1317.1,1323.1,1313.2,21.134,49321,21.155,21.25,20.945
6/30/14,1322,117728,1316.8,1330.4,1311,21.056,46984,21.06,21.17,20.805
7/1/14,1326.6,113226,1327.5,1334.9,1324,21.117,43454,21.07,21.275,21.05
7/2/14,1330.9,108835,1327.1,1333.2,1322.1,21.302,41132,21.085,21.335,20.96
7/3/14,1320.6,980,1321.1,1321.5,1319.8,21.137,368,21.18,21.2,21.17
7/4/14,1320.6,N/A,1320.6,1320.6,1320.6,21.137,N/A,21.137,21.137,21.137
7/7/14,1317,79110,1321.4,1321.7,1312.1,21.014,28495,21.2,21.215,20.865
7/8/14,1316.5,126706,1320.8,1325.7,1314.3,21.013,37883,21.1,21.245,20.955
7/9/14,1324.3,155101,1320.4,1333.4,1318.7,21.068,35124,21.085,21.285,21.04
7/10/14,1339.2,167391,1325,1346.8,1325,21.508,50756,21.12,21.63,21.12
7/11/14,1337.4,88470,1336.5,1340.4,1334.6,21.461,27322,21.465,21.565,21.42
7/14/14,1306.7,199973,1339.5,1340.9,1302.2,20.914,52140,21.485,21.53,20.9
7/15/14,1297.1,169612,1309.1,1314.4,1292.6,20.889,51179,20.975,21.13,20.67
7/16/14,1299.8,109418,1295.2,1304.2,1293.5,20.775,34918,20.75,20.88,20.63
7/17/14,1316.9,170360,1300.3,1325.9,1298.1,21.134,48140,20.815,21.3,20.76
7/18/14,1309.4,116687,1319.1,1325.5,1305,20.886,33354,21.205,21.315,20.78
7/21/14,1315.5,17260,1312.2,1320.4,1309.7,21.012,21189,20.93,21.165,20.86
7/22/14,1308,14296,1314.8,1318,1304.2,21.008,35270,20.97,21.12,20.785
7/23/14,1306.5,18529,1309.2,1313.3,1305.3,20.995,23656,21.025,21.105,20.94
7/24/14,1292.7,31853,1306.7,1307,1289.4,20.415,58035,20.96,20.97,20.35
7/25/14,1305.3,40213,1296,1311,1293,20.636,39194,20.42,20.81,20.35
7/28/14,1305.8,56826,1309.2,1311.4,1303.3,20.567,30023,20.715,20.775,20.55
7/29/14,1300.5,134585,1306.7,1314.6,1298,20.583,34856,20.63,20.845,20.505
7/30/14,1296.9,123138,1300.5,1305.2,1293.2,20.597,29624,20.6,20.76,20.48
7/31/14,1282.8,126684,1297,1298.8,1281.3,20.412,40066,20.41,20.78,20.37
8/1/14,1294.8,130480,1284.2,1298.4,1281,20.371,45322,20.4,20.58,20.245
8/4/14,1288.9,62664,1295.4,1296.4,1287,20.233,30172,20.335,20.48,20.17
8/5/14,1285.3,95648,1289.2,1295,1283.3,19.833,54109,20.18,20.29,19.76
8/6/14,1308.2,147308,1288.9,1311,1288.5,20.024,48597,19.785,20.135,19.77
8/7/14,1312.5,117073,1306.6,1316.4,1303,19.99,41284,20.05,20.13,19.88
8/8/14,1311,143432,1314.5,1324.3,1305.7,19.941,48336,19.995,20.185,19.845
8/11/14,1310.5,60601,1310.4,1312.9,1306.4,20.095,30458,19.92,20.11,19.845
8/12/14,1310.6,95741,1309.2,1319.3,1306.8,19.905,41291,20.015,20.155,19.875
8/13/14,1314.5,95280,1309.6,1316.4,1306,19.845,47660,19.925,20.085,19.705
8/14/14,1315.7,99903,1313.4,1321.8,1310,19.906,35091,19.82,19.985,19.785
8/15/14,1306.2,182579,1313.4,1316.5,1293,19.525,53267,19.865,19.955,19.505
8/18/14,1299.3,72640,1304.2,1304.9,1296.5,19.635,26040,19.58,19.695,19.47
8/19/14,1296.7,74127,1298.6,1303.7,1294.7,19.412,34327,19.595,19.7,19.365
8/20/14,1295.2,79933,1297.2,1299.3,1288.7,19.567,17563,19.49,19.65,19.465
8/21/14,1275.4,131952,1279.5,1292,1273.4,19.487,15042,19.535,19.55,19.355
8/22/14,1280.2,86655,1278.2,1283.9,1274.6,19.459,21151,19.49,19.625,19.36
8/25/14,1278.9,50763,1280.8,1281.6,1275,19.431,17669,19.485,19.54,19.37
8/26/14,1285.2,98932,1277.4,1291.9,1275.7,19.459,33274,19.4,19.735,19.38
8/27/14,1283.4,63763,1281.6,1288.2,1280.9,19.475,35689,19.39,19.545,19.36
8/28/14,1290.4,105911,1283.7,1297.6,1283,19.609,56741,19.48,19.95,19.47
8/29/14,1287.4,71025,1290.4,1292.5,1284.1,19.492,29947,19.54,19.675,19.475
9/1/14,1287.4,N/A,1287.4,1287.4,1287.4,19.492,N/A,19.492,19.492,19.492
9/2/14,1265,175680,1288.4,1290.9,1263.1,19.152,50745,19.505,19.565,19.11
9/3/14,1270.3,99369,1266.7,1272.4,1261.9,19.189,26509,19.21,19.28,19.135
9/4/14,1266.5,141572,1269.8,1279.2,1261.3,19.138,N/A,19.065,19.138,19.138
9/5/14,1267.3,99917,1261.7,1274.8,1258,19.156,24946,19.065,19.28,19.02
9/8/14,1254.3,107957,1269.5,1272.6,1252.1,18.961,27954,19.19,19.345,18.93
9/9/14,1248.5,121217,1257.1,1258.9,1248.1,18.92,31387,19.055,19.155,18.89
9/10/14,1245.3,132235,1256.2,1258.5,1244.5,18.926,32099,19.08,19.125,18.9
9/11/14,1239,149214,1249.8,1251,1235.3,18.599,54466,18.96,18.985,18.57
9/12/14,1231.5,132948,1240.9,1242.3,1228.1,18.606,39099,18.685,18.72,18.455
9/15/14,1235.1,90966,1228.3,1239.2,1226.3,18.62,25461,18.61,18.71,18.555
9/16/14,1236.7,118971,1233.2,1243.2,1232.2,18.721,39678,18.645,18.885,18.61
9/17/14,1235.9,125796,1235.3,1240.5,1222,18.734,32253,18.695,18.8,18.49
9/18/14,1226.9,139959,1223.1,1228.7,1216.3,18.517,42602,18.51,18.62,18.27
9/19/14,1216.6,169456,1225.6,1229.2,1214.2,17.844,63258,18.525,18.595,17.78
9/22/14,1217.9,129276,1216.4,1221,1208.8,17.774,73039,17.855,17.865,17.325
9/23/14,1222,147771,1214.9,1237,1214.7,17.779,45722,17.725,17.99,17.61
9/24/14,1219.5,126788,1223.2,1226.7,1216.2,17.702,49723,17.765,17.87,17.51
9/25/14,1221.9,174079,1217.3,1225.3,1206.6,17.438,52894,17.675,17.69,17.27
9/26/14,1215.4,140910,1222.1,1232.7,1212.8,17.537,36390,17.5,17.725,17.44
9/29/14,1218.8,100175,1219.1,1223.9,1215.3,17.567,27028,17.575,17.635,17.43
9/30/14,1211.6,174232,1215.7,1220.7,1204.3,17.057,62479,17.46,17.575,16.85
10/1/14,1215.5,139735,1209.4,1220,1205,17.259,47851,16.975,17.44,16.865
10/2/14,1215.1,142807,1213.4,1224,1209.1,17.047,39633,17.19,17.35,16.93
